Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-12-28,124.59,129.52,124.42,128.18,85438400
2022-12-29,128.12,128.98,126.26,126.52,75703700
2022-12-30,128.44,128.46,125.97,126.93,77034200
2023-01-03,123.63,129.4,122.74,128.78,112117500
2023-01-04,124.91,127.18,123.64,125.43,89113600
2023-01-05,123.58,126.3,123.33,125.67,80962700
2023-01-06,128.13,128.79,123.45,124.56,87754700
2023-01-09,128.65,131.88,128.4,128.97,70790800
2023-01-10,129.23,129.75,126.65,128.76,63896200
2023-01-11,131.96,131.98,128.96,129.74,69458900
2023-01-12,131.88,132.72,129.93,132.34,71379600
2023-01-13,133.21,133.37,130.15,130.51,57809700
2023-01-17,134.38,135.71,132.59,133.28,63646600
2023-01-18,133.66,137.02,133.48,135.25,69672800
2023-01-19,133.72,134.68,132.23,132.54,58280400
2023-01-20,136.29,136.43,132.68,133.73,80223600
2023-01-23,139.49,141.67,136.32,136.53,81760300
2023-01-24,140.89,141.51,138.69,138.7,66435100
2023-01-25,140.23,140.79,137.21,139.27,65799300
2023-01-26,142.31,142.59,140.27,141.52,54105100
2023-01-27,144.25,145.54,141.44,141.51,70555800
2023-01-30,141.36,143.88,141.21,143.29,64015300
2023-01-31,142.63,142.68,140.64,141.06,65874500
2023-02-01,143.76,144.92,139.7,142.32,77663600
2023-02-02,149.09,149.44,146.47,147.19,118339000
2023-02-03,152.72,155.57,146.13,146.33,154357300
2023-02-06,149.99,151.34,149.05,150.82,69858300
2023-02-07,152.87,153.45,148.91,148.91,83322600
2023-02-08,150.17,152.8,149.43,152.11,64120100
2023-02-09,149.14,152.56,148.69,152.01,56007100
2023-02-10,149.5,149.83,147.73,147.97,57450700
2023-02-13,152.31,152.72,149.41,149.44,62199000
2023-02-14,151.67,152.23,149.35,150.6,61707600
2023-02-15,153.78,153.95,151.35,151.58,65573800
2023-02-16,152.18,154.77,151.82,151.98,68167900
2023-02-17,151.03,151.47,149.34,150.83,59144100
2023-02-21,147.0,149.79,146.93,148.7,58867200
2023-02-22,147.42,148.45,145.69,147.38,51011300
2023-02-23,147.91,148.84,145.77,148.59,48394200
2023-02-24,145.25,145.72,144.27,145.64,55469600
2023-02-27,146.44,147.68,145.98,146.24,44998500
2023-02-28,145.94,147.59,145.36,145.58,50547000
2023-03-01,143.86,145.76,143.56,145.36,55479000
2023-03-02,144.45,145.25,142.46,142.94,52238100
2023-03-03,149.52,149.6,145.86,146.56,70732300
2023-03-06,152.29,154.74,151.93,152.25,87558000
2023-03-07,150.09,152.49,149.62,152.17,56182000
2023-03-08,151.34,151.94,150.31,151.28,47204800
2023-03-09,149.09,153.0,148.73,152.03,53833600
2023-03-10,147.02,149.43,146.14,148.71,68572400
2023-03-13,148.97,151.61,146.23,146.33,84457100
2023-03-14,151.07,151.87,148.6,149.77,73695900
2023-03-15,151.46,151.72,148.42,149.68,77167900
2023-03-16,154.29,154.9,150.13,150.64,76161100
2023-03-17,153.45,155.18,152.74,154.52,98944600
2023-03-20,155.83,156.24,152.61,153.52,73641400
2023-03-21,157.69,157.81,154.98,155.75,73938300
2023-03-22,156.25,160.52,156.23,157.71,75701800
2023-03-23,157.34,159.94,156.11,157.24,67622100
2023-03-24,158.65,158.74,156.27,157.27,59196500
2023-03-27,156.7,159.16,156.29,158.34,52390300
2023-03-28,156.08,156.91,154.42,156.39,45992200
2023-03-29,159.16,159.44,157.76,157.78,51305700
2023-03-30,160.74,160.85,159.66,159.92,49501700
2023-03-31,163.25,163.35,160.29,160.82,68749800
2023-04-03,164.51,164.63,162.58,162.63,56976200
2023-04-04,163.98,165.17,163.46,164.94,46278300
2023-04-05,162.12,163.4,160.18,163.1,51511700
